,Name,Description,date_guess,type_guess
933,"Edinburgh, UK","Paddy's Session. Masons Arms Pub<br>Clerk Street Loanhead<br>Edinburgh, MLN EH20 9RB<br>United Kingdom. Monthly on 2nd Friday (view full repeat details)<br>Start: 8:45 pm<br>End: 11:59 pm. One of 3 music sessions in the Midlothian area. It takes place in the Masons Arms pub Clerk St Loanhead, near Edinburgh, known locally as ""Paddy's on the second Friday of the month, kicks off around 8.45pm ish. All welcome, all instruments, all styles,all levels, though not a large venue.",2nd Friday,weekly gathering
934,"Essex, UK","where: The Wheatsheaf, Brentwood Road, Romford<br>when: most Tuesdays<br>contact: 01708 446148. Please call ahead to verify. ",Tuesdays,weekly gathering
935,"Ewshot, UK","To all existing, potential and developing Old Time players:<br>Come and join us for an evening jam at The Windmill, 3rd Thursday of every month.<br>All are welcome.<br><br>The Windmill jam has been in existence for some years, thanks to the late Dave Marshall, a great friend of FOAOTMAD.<br>Every 3rd Thursday we gather from 8pm until closing in a lovely pub run by a village co-operative. Please feel free to just turn up or if you have any queries please contact me, Paul Toomey via FB or by e-mail: paultoomey@btinternet.com or by phone and/or text 07976 977554<br><br>The Windmill,<br>Ewshot<br>Nr Farnham, Hants<br>GU10 5BJ<br>Within 45mins of SW London, Southampton, Portsmouth, Reading<br><br>CR 4/9/2019",3rd Thursday,weekly gathering
936,"Glasgow, UK","This is the place for folks in Glasgow who are interested in Appalachian Old Time Music!!<br>Our session runs weekly from 7:30 - 10:30pm on Thursdays at Crossing the Rubicon on Great Western Road, G4 9HT.<br>Everybody is welcome. If you don't know what to do or how to join in, we are happy to teach you <br><br><br>https://www.facebook.com/groups/347255165997854/<br><br>CR 3/7/2019",Thursdays,weekly gathering
937,"Glasbury, UK","Black Mountains Monthly Bluegrass Session. The Harp Inn<br>Glasbury-on-Wye United Kingdom<br>Glasbury, POW HR3 5NR<br>United Kingdom. Bluegrass Old time country Old time fiddle Banjo Fiddle Guitar Mandolin Dobro Voice Bass. Monthly on 3rd Tuesday (view full repeat details)<br>Start: 8:00 pm.                                                 Contact Name: Christine Cleaton<br>Contact Phone Number: 01981 510674.             http://www.folkjam.org/recurring-jam/uk/pow/glasbury/black-mountains-monthly-bluegrass-session",3rd Tuesday,weekly gathering
938,"Hastings, UK","American Old Time Music Session The fourth Tuesday of each month at our beautiful pub The Albion. <br>First on is 25 of September, 2018<br>8:30 PM - 11 PM UTC+01<br>	<br>The Albion<br>33 George Street, TN343EA Hastings, East Sussex<br>https://www.facebook.com/events/1809597942427414/?ti=icl",Tuesday,weekly gathering
939,"Royal Oak Inn, Herefordshire, UK","where: Royal Oak, Kington<br>when: 2nd Monday of the month<br>contact: 01568 750546. Please call ahead to verify. ",Monday,weekly gathering
940,"Prince of Wales, Herefordshire, UK","where: Prince of Wales, Church Street, Ledbury, (Old Time very Welcome-mixed genres)<br>when: Wednesday<br>contact: 01684 833820. Please call ahead to verify. ",Wednesday,weekly gathering
941,"The Kings Head, Hertfordshire, UK","where: Kings Head, Hunton Bridge, Abbots Langley<br>when: Last Thursday of the month<br>contact: 01923 264536. Please call ahead to verify. ",Thursday,weekly gathering
942,"*Hemel Hempstead, UK","Mixed Old Time and Bluegrass Session - Hemel Hempstead<br>This mixed old time and bluegrass session is held at Leverstock Green Cricket Club in Hemel Hempstead and run by Christopher Lawrance.<br><br>Venue: Leverstock Green Cricket Club, Hemel Hempstead HP3 8LJ<br>When: First Tuesday in every month. Doors open 20.00 and starts at 20.15<br>Contact: Christopher Lawrance chrisbanjolawrance@gmail.com or phone 01442 215826<br>Updated CR 5/10/2022",Tuesday,weekly gathering
943,"*Kendal, UK","Old Time Session - Kendal<br>If you are visiting the Southern area of the Lake District or Kendal and surrounding area then we would love you to join us for our Old Time session in a warm and friendly pub which has a super range of excellent Whiskeys (about 150) as well as good beer etc.<br><br>Venue: The New Union 159 Stricklandgate, Kendal, Cumbria LA9 4RF<br>When: Every Tuesday evening from 7.30pm until around 11pm<br>Contact: Joan Abbott pinkpianoster@googlemail.com or phone 07979 773757<br>Updated CR 5/10/2022",Tuesday,weekly gathering
944,"Kent, UK",Roots At Rainham Oast                                   when: 1st & 3rd Wednesdays<br>contact: 01634 260281. Please call ahead to verify and for details. ,1st & 3rd Wednesdays,weekly gathering
945,"Lancashire, UK","where: The Flowers, Bacup<br>when: Friday.<br>contact: 01706 814682. Please call ahead to verify and for details. ",Friday,weekly gathering
946,"*Leeds, UK","Old Time Session - Leeds<br>Leeds Old Time session held at the The Chemic Tavern which is renowned for live music. This session is well attended and open to everyone,<br><br>Venue: The Chemic Tavern 9 Johnson Street, Leeds. LS6 2NG<br>When: Last Sunday of the month 14.00 - 16.00<br>Contact: Simon Robinson simon_j_robinson@icloud.com<br>Facebook: https://www.facebook.com/groups/337893283607993<br><br>Updated CR 5/10/2022",14.00 - 16.00,weekly gathering
947,"Lewes, UK","Old-time in Lewes. <br>The John Harvey Tavern<br>Bear Yard, Cliffe High St, Lewes BN7 2AN<br>United Kingdom.<br>Monthly on 2nd Wednesday<br>Start: 8:00 pm. : http://www.oldtimelewes.weebly.com<br>Contact Name: Michi Mathias<br>updated CR 1/4/2019",2nd Wednesday,weekly gathering
948,"*Leyton, East London, UK","Old Time Home Session - London<br>Home session playing in Leyton, East London<br><br>Where: Leyton<br>Contact: Paul Warner pr.warner27@gmail.com or phone 0799 0737 539<br><br><br>CR 5/10/2022",Old Time Home Session - London,annual event
949,"The Castle E17, London, UK",when: Third Monday of the month<br>contact: 07990 737539. Please call ahead for verification and details. ,Monday,weekly gathering
950,"London, UK","Monday Musicians meet once a month to play English and other folk dance music, led by Thomas Bending with occasional guest leaders. We meet at Cecil Sharp House, Regent's Park Road, London NW1 7AY, UK, in Committee Room 1 on the first floor. Sessions are 7pm - 10pm on the second Monday of every month except August, so the next few are Mon 11 Nov 2019, Mon 9 Dec 2019 and Mon 13 Jan 2020.<br><br>We play for pleasure and to swap tunes, and for many years at Christmas we played for the EFDSS Carols and Customs celebration. Anyone playing any instrument to any standard is very welcome. We play tunes in a variety of keys, and you'll probably find it easier if you can read music so please bring a stand if you can. Sessions cost £5, or £4 if you're unwaged, but your first session is free.<br><br>http://www.thomasbending.co.uk/mm/index.htm<br><br>CR 10/30/2019",Monday,weekly gathering
951,"*The Prince of Wales Feathers, London, UK","Two jams at this location<br><br>Old Time Session - Prince of Wales Feathers<br>This is a fortnightly session of old time American music. We meet at the Prince of Wales Feathers, London in the upstairs function room every other Sunday, 18.00 - 21.00 All players and listeners all welcome<br><br>Venue: Prince of Wales Feathers 8 Warren Street, London, W1T 5LD (upstairs function room)<br>When: Every other Sunday 18.00 - 21.00<br>Contact: Sathari Kam inform07@yahoo.com<br>---------------------------------------------------------------<br>Old Time Slow Jam - Prince of Wales Feathers<br>This is a monthly meeting for beginners and improvers of old time American folk music. We meet at the Prince of Wales Feathers, London in the upstairs function room on the 3rd Sunday of the month from 18.00. Players and listeners all welcome!<br><br>Venue: Prince of Wales Feathers 8 Warren Street, London, W1T 5LD (upstairs function room)<br>When: Third Sunday of the month from 18.00 - 21.00<br>Contact: Bridget Stutt admin@otsj.co.uk or phone 07733 301754<br>Website: http://www.otsj.co.uk<br><br>Updated CR 5/10/2022",3rd Sunday,weekly gathering
952,"King's Cross, London, UK",Harrison Gastro Pub Old Time Open Jam               3rd Sunday of the month starting at 3:30pm.,Sunday,weekly gathering
953,"*The Lamb, London, UK","where: The Lamb, 54 Holloway Road, N7 8JL<br>when: 1st and 3rd Wednesdays of the month<br>contact: 0781 3866472<br><br>Updated CR 5/10/2022",1st and 3rd Wednesdays,weekly gathering
954,"London, UK Gladstone Arms","An Old Time Open Jam hosted by THE OLD TIME WASTERS. Every Monday  upstairs at The Glad (aka The Gladstone Arms) 64 Lant Street, London SE1 1QN  Starts at 8pm.                              Please call ahead to verify:  - 07941 740 083",Monday,weekly gathering
955,"Shakespeares Head, London, UK",when: Sunday<br>contact: 020 8552 8308<br>More fiddle players needed! Please call ahead for verification and details. ,Sunday,weekly gathering
956,"The Triple Crown, London/Surrey, UK",when: one Tuesday per month – please check which<br>contact: email@jgmarshall.com,Tuesday,weekly gathering
957,"The Frigate, Manchester, UK",1st & 3rd Tuesdays of every month<br>8:30 pm<br>contact: 01539 560534. Please call ahead for verification and details. <br><br>Updated CR 6/20/2019,1st & 3rd Tuesdays,weekly gathering
959,"*Matlock, UK","Old Time Session - Matlock<br>This is a long running old-time session but we welcome visitors and newcomers. Note: We aim to run weekly and an email is sent out every Monday - please subscribe to email via the contact below to be kept up to date.<br><br>Venue: Square & Compass Darley Bridge, Matlock, DE4 2EQ<br>When: Thursdays from 20.00 (occasional outdoor afternoons during summer)<br>Contact: Stuart Wade stuartwade4@gmail.com<br><br>Updated CR 5/10/2022",Thursdays from 20.00,weekly gathering
960,"Northamptonshire, UK","where: Walnut Tree Inn, Blisworth, NN7 3DS (Bluegrass & Oldtime)<br>when: 3rd Monday of the month<br>contact: 01908 265365. Please call ahead for verification and details. ",Monday,weekly gathering
961,"*Roade, UK","Mixed Old Time and Bluegrass Session - Northants<br>This mixed old time & bluegrass session takes place at The Cock at Roade pub.<br><br>Venue: The Cock at Roade 1 High Street, Roade, Northampton NN7 2NW<br>When: 3rd Monday of the month from 19.30<br>Contact: Chris Street mrchrisstreet@aol.com<br>Updated CR 5/10/2022",Monday,weekly gathering
962,"*Newcastle upon Tyne, UK","Tyne and Wear<br>where: Cumberland Arms, Byker, Newcastle upon Tyne NE6 1LD<br>1st and 3rd Mondays of the month. 8pm - <br>contact:andy.seagroatt@gmail.com<br>web: www.thecumberlandarms.co.uk (B&B is available in this fantastic music loving pub)<br><br>https://www.facebook.com/groups/1546871198914465<br><br>Updated CR 5/10/2022",1st and 3rd Mondays,weekly gathering
963,"Beeston, Nottingham, UK",Old Time Open Jam                                                     Third Tuesday of the month at The White Lion.    Start time 8:00pm. ,Tuesday,weekly gathering
964,"North Wales, UK","where: George iii Hotel, Penmaenpool, Gwynedd (Bluegrass & Oldtime)<br>when: 1st Friday of the month. Please call ahead for verification and details. ",Friday,weekly gathering
965,"The Red Lion, Oxford, UK",Last Thursday of the month. Please call ahead for verification and details,Thursday,weekly gathering
966,"Oxford, UK","Oxford Bluegrass and Old Time/Appalachian Music Session.                                                       Red Lion<br>Oxford Road<br>Old Marston Village, OXF OX3 0PH<br>United Kingdom. Monthly on Last Monday (view full repeat details)<br>Start: 8:30 pm<br>End: 11:30 pm. http://www.folkjam.org/recurring-jam/uk/oxf/old-marston-village/oxford-bluegrass-and-old-timeappalachian-music-session",Last Monday,weekly gathering
967,"The Coachmakers Arms, Oxford, UK",when: 2nd Tuesday of month<br>contact: tonyquinn@aol.com. Please call ahead or email for verification and details. ,Tuesday,weekly gathering
968,"*Porthleven, Cornwall, UK","Old Time Music Cornwall - Porthleven<br>We have an open old time session at Out of the Blue in Porthleven. This is a really fine pub and is ideal for our needs with good ales, plenty of seating, an out door area and caravan & camp site.<br>The ""Blue"" session runs every fortnight on a Wednesday evening. It's beginner friendly and visiting & local old time players, singers & dancers are invited to join us for tunes, songs & dance.<br><br>If you are in the West of Cornwall and want to play tunes but cannot get to a pub session we will try to arrange something for you or if you just want more information please contact us here<br><br>Venue: Out of the Blue Mill Lane, Porthleven, Cornwall, TR13 9LQ<br>When: 19.30 every other Wednesday (see website)<br>Contact: Paul Bennett<br>Website: https://oldtimemusic-cornwall.weebly.com<br>Facebook: https://www.facebook.com/groups/148821412722981 <br><br>  Updated CR 5/10/2022",Wednesday,weekly gathering
969,"West Cornwall, UK","Old Time House Sessions<br>Every two weeks we host Old Time ""House"" sessions at five different locations in West Cornwall.<br><br>Visiting & local old time players, singers & dancers are invited to join us for tunes.                    If you are interested and want more information please contact us at: https://oldtimemusic-cornwall.weebly.com/contact.html                                                               Added by: J.S. 11/07/18",two weeks,weekly gathering
970,"Commercial Hotel, Scotland, UK",when: Wednesday<br>contact: 01847 893366. Please call ahead for verification and details. ,Wednesday,weekly gathering
971,"Thurso, Scotland","Scotland, Highlands<br>where: Commercial Bar, Thurso<br>when: Wednesday<br>contact: 01847 893366                                               Please call ahead for details",Wednesday,weekly gathering
973,"South Yorkshire, Doncaster, UK",Ukranian Club. when: Monday (folk session with old time welcome)<br>contact: 01302 811984. Please call ahead for verification and details. ,Monday,weekly gathering
974,"South Yorkshire, Sheffield, UK",The Gardeners Rest. when: 1st & 3rd Tuesdays of the month<br>contact: 01302 811984. Please call ahead for verification and details. ,1st & 3rd Tuesdays,weekly gathering
975,"*Shrewsbury, UK","Old Time Session - Shrewsbury<br>It's a friendly pub with good beer. Singers, beginners and visitors are welcome. Playing a mix of standard tunes, we do some slower stuff for the less experienced particularly at the beginning of the session but a few drinks can change that. Please call or email for more information or to go on the mailing list.<br><br>Venue: The Crown Inn Abbey Foregate, Shrewsbury. SY2 6BT.<br>When: 3rd Tuesday in the month. Starts 20.30<br>Contact: Merrion Wood merrion.wood@gmail.com or phone 07823 641688<br><br>Updated CR 5/10/2022",Tuesday,weekly gathering
976,"*Stoke-by-Clare, UK",April through September<br>Sunday folk session once a month in the beer garden from 12-00 noon -2-00pm. The last Sunday of the month. <br><br>The Lion Stoke-by-Clare<br><br>CR 8/1/2022,April through September,weekly gathering
977,"*Pitminster, Taunton UK","Old Time Session - Pitminster<br>Vic Wilcox has been running his session for many years. Beginners and visitors are always welcome to this lively jam so be prepared for many tunes and lots of fun, all set in traditional village pub serving great food and beverages.<br><br>Venue: Queens Arms Pitminster, Taunton, Somerset, TA3 7AZ<br>When: 19.30 Every other Tuesday<br>Contact: Vic Wilcox clawhammer@john-lewis.com or phone 01823 421241<br><br>CR 5/10/2022",Tuesday,weekly gathering
